( arctic_a0001-sin "AUTHOR OF THE DANGER TRAIL, PHILIP STEELS, ETC" )
( arctic_a0002-sin "Not at this particular case, Tom, apologized Whittemore." )
( arctic_a0003-sin "For the twentieth time that evening the two men shook hands." )
( arctic_a0004-sin "Lord, but I'm glad to see you again, Phil." )
( arctic_a0005-sin "Will we ever forget it." )
( arctic_a0006-sin "God bless 'em, I hope I'll go on seeing them forever." )
( arctic_a0007-sin "And you always want to see it in the superlative degree." )
( arctic_a0008-sin "Gad, your letter came just in time." )
( arctic_a0009-sin "He turned sharply, and faced Gregson across the table." )
( arctic_a0010-sin "I'm playing a single hand in what looks like a losing game." )
( arctic_a0011-sin "If I ever needed a fighter in my life I need one now." )
( arctic_a0012-sin "Gregson shoved back his chair and rose to his feet." )
( arctic_a0013-sin "He was a head shorter than his companion, of almost delicate physique." )
( arctic_a0014-sin "Now you're coming down to business, Phil, he exclaimed." )
( arctic_a0015-sin "It's the aurora borealis." )
( arctic_a0016-sin "There's Fort Churchill, a rifle-shot beyond the ridge, asleep." )
( arctic_a0017-sin "From that moment his friendship for Belize turns to hatred and jealousy." )
( arctic_a0018-sin "There was a change now." )
( arctic_a0019-sin "I followed the line of the proposed railroad, looking for chances." )
( arctic_a0020-sin "Clubs and balls and cities grew to be only memories." )
( arctic_a0021-sin "It fairly clubbed me into recognizing it." )
( arctic_a0022-sin "Hardly were our plans made public before we were met by powerful opposition." )
( arctic_a0023-sin "A combination of Canadian capital quickly organized and petitioned for the same privileges." )
( arctic_a0024-sin "It was my reports from the north which chiefly induced people to buy." )
( arctic_a0025-sin "I was about to do this when cooler judgment prevailed." )
( arctic_a0026-sin "It occurred to me that there would have to be an accounting." )
( arctic_a0027-sin "To my surprise he began to show actual enthusiasm in my favor." )
( arctic_a0028-sin "Robbery, bribery, fraud, " )
( arctic_a0029-sin "Their forces were already moving into the north country." )
( arctic_a0030-sin "I had faith in them." )
( arctic_a0031-sin "They were three hundred yards apart." )
( arctic_a0032-sin "Since then some mysterious force has been fighting us at every step." )
( arctic_a0033-sin "He unfolded a long typewritten letter, and handed it to Gregson." )
( arctic_a0034-sin "Men of Selden's stamp don't stop at women and children." )
( arctic_a0035-sin "He stopped, and Philip nodded at the horrified question in his eyes." )
( arctic_a0036-sin "She turned in at the hotel." )
( arctic_a0037-sin "I was the only one who remained sitting." )
( arctic_a0038-sin "We'll have to watch our chances." )
( arctic_a0039-sin "The ship should be in within a week or ten days." )
( arctic_a0040-sin "I suppose you wonder why she is coming up here." )
( arctic_a0041-sin "Meanwhile I'll go out to breathe a spell." )
( arctic_a0042-sin "How could he explain his possession of the sketch." )
( arctic_a0043-sin "It seemed nearer to him since he had seen and talked with Gregson." )
( arctic_a0044-sin "Her own betrayal of herself was like tonic to Philip." )
( arctic_a0045-sin "He moved away as quietly as he had come." )
( arctic_a0046-sin "The girl faced him, her eyes shining with sudden fear." )
( arctic_a0047-sin "Close beside him gleamed the white fangs of the wolf-dog." )
( arctic_a0048-sin "He looked at the handkerchief more, closely." )
( arctic_a0049-sin "Gregson was asleep when he re-entered the cabin." )
( arctic_a0050-sin "In spite of their absurdity the words affected Philip curiously." )
( arctic_a0051-sin "The lace was of a delicate ivory color, faintly tinted with yellow." )
( arctic_a0052-sin "It was a curious coincidence." )
( arctic_a0053-sin "Suddenly his fingers closed tightly over the handkerchief." )
( arctic_a0054-sin "There was nothing on the rock." )
( arctic_a0055-sin "Philip stood undecided, his ears strained to catch the slightest sound." )
( arctic_a0056-sin "Pearce's little eyes were fixed on him shrewdly." )
( arctic_a0057-sin "I have no idea, replied Philip." )
( arctic_a0058-sin "I came for information more out of curiosity than anything else." )
( arctic_a0059-sin "His immaculate appearance was gone." )
( arctic_a0060-sin "Anyway, no one saw her like, that." )
( arctic_a0061-sin "Philip snatched at the letter which Gregson held out to him." )
( arctic_a0062-sin "The men stared into each other's face." )
( arctic_a0063-sin "Yes It was a man who asked, a stranger." )
( arctic_a0064-sin "The fourth and fifth days passed without any developments." )
( arctic_a0065-sin "They closed now until his fingers were like cords of steel." )
( arctic_a0066-sin "He saw Jeanne falter for a moment." )
( arctic_a0067-sin "Surely I will excuse you, she cried." )
( arctic_a0068-sin "In a flash Philip followed its direction." )
